"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",commons-lang3-3.13.0.jar,/home/ubuntu/.m2/repository/org/apache/commons/commons-lang3/3.13.0/commons-lang3-3.13.0.jar,"Apache Commons Lang, a package of Java utility classes for the   classes that are in java.lang's hierarchy, or are considered to be so   standard as to justify existence in java.lang.",https://www.apache.org/licenses/LICENSE-2.0.txt,3435b913691a5c1b173485a49850b1a8,b7263237aa89c1f99b327197c41d0669707a462e,pkg:maven/org.apache.commons/commons-lang3@3.13.0,"",CVE-2025-48924,CWE-674 Uncontrolled Recursion,"Uncontrolled Recursion vulnerability in Apache Commons Lang.  This issue affects Apache Commons Lang: Starting with commons-lang:commons-lang 2.0 to 2.6, and, from org.apache.commons:commons-lang3 3.0 before 3.18.0.  The methods ClassUtils.getClass(...) can throw StackOverflowError on very long inputs. Because an Error is usually not handled by applications and libraries, a  StackOverflowError could cause an application to stop.  Users are recommended to upgrade to version 3.18.0, which fixes the issue.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2025-48924 for details",OSSINDEX,MEDIUM,6.9,/AV:N/AC:L/Au:/C:/I:/A:,"","","",HIGH,143,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",h2-2.2.224.jar,/home/ubuntu/.m2/repository/com/h2database/h2/2.2.224/h2-2.2.224.jar,H2 Database Engine,MPL 2.0: https://www.mozilla.org/en-US/MPL/2.0/ EPL 1.0: https://opensource.org/licenses/eclipse-1.0.php,769d5a85d19ccc2b06620f8c81d6d8f8,7bdade27d8cd197d9b5ce9dc251f41d2edc5f7ad,pkg:maven/com.h2database/h2@2.2.224,cpe:2.3:a:h2database:h2:2.2.224:*:*:*:*:*:*:*,CVE-2018-14335,CWE-59 Improper Link Resolution Before File Access ('Link Following'),"h2database - Improper Link Resolution Before File Access  The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.",OSSINDEX,"","","",MEDIUM,6.0,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,HIGH,44,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",jackson-databind-2.15.3.jar,/home/ubuntu/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.15.3/jackson-databind-2.15.3.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0.txt",5f453c55f127690fa8491ce347aa055c,a734bc2c47a9453c4efa772461a3aeb273c010d9,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.15.3,"cpe:2.3:a:fasterxml:jackson-databind:2.15.3:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.15.3:*:*:*:*:*:*:*",CVE-2023-35116,CWE-770 Allocation of Resources Without Limits or Throttling,"jackson-databind through 2.15.2 allows attackers to cause a denial of service or other unspecified impact via a crafted object that uses cyclic dependencies. NOTE: the vendor's perspective is that this is not a valid vulnerability report, because the steps of constructing a cyclic data structure and trying to serialize it cannot be achieved by an external attacker.",NVD,"","","",MEDIUM,4.7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,HIGH,41,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",logback-classic-1.4.11.jar,/home/ubuntu/.m2/repository/ch/qos/logback/logback-classic/1.4.11/logback-classic-1.4.11.jar,logback-classic module,"http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",a6a09da5f4d40cf80bedcf7a6a0d35b2,54450c0c783e896a1a6d88c043bd2f1daba1c382,pkg:maven/ch.qos.logback/logback-classic@1.4.11,cpe:2.3:a:qos:logback:1.4.11:*:*:*:*:*:*:*,CVE-2023-6378,CWE-502 Deserialization of Untrusted Data,A serialization vulnerability in logback receiver component part of  logback version 1.4.11 allows an attacker to mount a Denial-Of-Service  attack by sending poisoned data.,NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,38,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",logback-core-1.4.11.jar,/home/ubuntu/.m2/repository/ch/qos/logback/logback-core/1.4.11/logback-core-1.4.11.jar,logback-core module,"http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",d71bee74f4ae2864c7b68fc8212b8a66,2f9f280219a9922a74200eaf7138c4c17fb87c0f,pkg:maven/ch.qos.logback/logback-core@1.4.11,cpe:2.3:a:qos:logback:1.4.11:*:*:*:*:*:*:*,CVE-2023-6378,CWE-502 Deserialization of Untrusted Data,A serialization vulnerability in logback receiver component part of  logback version 1.4.11 allows an attacker to mount a Denial-Of-Service  attack by sending poisoned data.,NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,36,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",logback-core-1.4.11.jar,/home/ubuntu/.m2/repository/ch/qos/logback/logback-core/1.4.11/logback-core-1.4.11.jar,logback-core module,"http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",d71bee74f4ae2864c7b68fc8212b8a66,2f9f280219a9922a74200eaf7138c4c17fb87c0f,pkg:maven/ch.qos.logback/logback-core@1.4.11,cpe:2.3:a:qos:logback:1.4.11:*:*:*:*:*:*:*,CVE-2024-12798,CWE-917 Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),"ACE vulnerability in JaninoEventEvaluator  by QOS.CH logback-core       upto including version 0.1 to 1.3.14 and 1.4.0 to 1.5.12 in Java applications allows       attacker to execute arbitrary code by compromising an existing       logback configuration file or by injecting an environment variable       before program execution.      Malicious logback configuration files can allow the attacker to execute  arbitrary code using the JaninoEventEvaluator extension.    A successful attack requires the user to have write access to a  configuration file. Alternatively, the attacker could inject a malicious  environment variable pointing to a malicious configuration file. In both  cases, the attack requires existing privilege.",OSSINDEX,MEDIUM,5.9,/AV:L/AC:L/Au:/C:/I:/A:,"","","",HIGH,36,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",logback-core-1.4.11.jar,/home/ubuntu/.m2/repository/ch/qos/logback/logback-core/1.4.11/logback-core-1.4.11.jar,logback-core module,"http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",d71bee74f4ae2864c7b68fc8212b8a66,2f9f280219a9922a74200eaf7138c4c17fb87c0f,pkg:maven/ch.qos.logback/logback-core@1.4.11,cpe:2.3:a:qos:logback:1.4.11:*:*:*:*:*:*:*,CVE-2024-12801,CWE-918 Server-Side Request Forgery (SSRF),"Server-Side Request Forgery (SSRF) in SaxEventRecorder by QOS.CH logback version 0.1 to 1.3.14 and 1.4.0 to 1.5.12  on the Java platform, allows an attacker to  forge requests by compromising logback configuration files in XML.    The attacks involves the modification of DOCTYPE declaration in  XML configuration files.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2024-12801 for details",OSSINDEX,LOW,2.4,/AV:L/AC:L/Au:/C:/I:/A:,"","","",HIGH,36,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-context-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-context/6.1.1/spring-context-6.1.1.jar,Spring Context,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",4ca9075daea9de15f42ba7de14420e47,0610d7dd3f62d22d42b993a201e3110649b68e17,pkg:maven/org.springframework/spring-context@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2024-38820,NVD-CWE-noinfo,"The fix for CVE-2022-22968 made disallowedFields patterns in DataBinder case insensitive. However, String.toLowerCase() has some Locale dependent exceptions that could potentially result in fields not protected as expected.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-context-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-context/6.1.1/spring-context-6.1.1.jar,Spring Context,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",4ca9075daea9de15f42ba7de14420e47,0610d7dd3f62d22d42b993a201e3110649b68e17,pkg:maven/org.springframework/spring-context@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2025-22233,CWE-20 Improper Input Validation,"CVE-2024-38820 ensured Locale-independent, lowercase conversion for both the configured disallowedFields patterns and for request parameter names. However, there are still cases where it is possible to bypass the disallowedFields checks.  Affected Spring Products and Versions  Spring Framework:   *  6.2.0 - 6.2.6    *  6.1.0 - 6.1.19    *  6.0.0 - 6.0.27    *  5.3.0 - 5.3.42   *  Older, unsupported versions are also affected    Mitigation  Users of affected versions should upgrade to the corresponding fixed version.  Affected version(s)Fix Version Availability 6.2.x  6.2.7 OSS6.1.x  6.1.20 OSS6.0.x  6.0.28  Commercial https://enterprise.spring.io/ 5.3.x  5.3.43  Commercial https://enterprise.spring.io/  No further mitigation steps are necessary.   Generally, we recommend using a dedicated model object with properties only for data binding, or using constructor binding since constructor arguments explicitly declare what to bind together with turning off setter binding through the declarativeBinding flag. See the Model Design section in the reference documentation.  For setting binding, prefer the use of allowedFields (an explicit list) over disallowedFields.  Credit  This issue was responsibly reported by the TERASOLUNA Framework Development Team from NTT DATA Group Corporation.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2025-22233 for details",OSSINDEX,LOW,2.3,/AV:N/AC:H/Au:/C:/I:/A:,"","","",HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-context-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-context/6.1.1/spring-context-6.1.1.jar,Spring Context,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",4ca9075daea9de15f42ba7de14420e47,0610d7dd3f62d22d42b993a201e3110649b68e17,pkg:maven/org.springframework/spring-context@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2024-22259,"","Applications that use UriComponentsBuilder in Spring Framework to parse an externally provided URL (e.g. through a query parameter) AND perform validation checks on the host of the parsed URL may be vulnerable to a  open redirect https://cwe.mitre.org/data/definitions/601.html  attack or to a SSRF attack if the URL is used after passing validation checks.  This is the same as  CVE-2024-22243 https://spring.io/security/cve-2024-22243 , but with different input.",NVD,"","","","","","",HIGH,35,"","","","","","","",""
